Dataload done! 48.5982666015625
sample_PAP 101000000th iter... 723.2390940189362
sample_PAP 99000000th iter... 723.8098673820496
sample_PAP 102000000th iter... 724.6118230819702
sample_PAP 98000000th iter... 724.7800993919373
sample_PAP 103000000th iter... 725.204897403717
sample_PAP 104000000th iter... 726.1158504486084
sample_PAP 109000000th iter... 727.3012866973877
sample_PAP 110000000th iter... 727.3527023792267
sample_PAP 105000000th iter... 729.192459821701
sample_PAP 111000000th iter... 729.9401223659515
sample_PAP 106000000th iter... 729.9843804836273
sample_PAP 108000000th iter... 730.2560701370239
sample_PAP 114000000th iter... 731.9596691131592
sample_PAP 107000000th iter... 732.2106971740723
sample_PAP 112000000th iter... 732.5547544956207
sample_PAP 113000000th iter... 733.5420622825623
sample_PAP 116000000th iter... 734.6448051929474
sample_PAP 115000000th iter... 734.9579360485077
sample_PAP 120000000th iter... 735.3345727920532
sample_PAP 117000000th iter... 735.9695336818695
sample_PAP 119000000th iter... 736.0075399875641
sample_PAP 118000000th iter... 737.0144655704498
PAP done : 749.0992879867554 | PAP_result.shape : (2,359450273)
sample_APA 47000000th iter... 911.0330686569214
sample_APA 46000000th iter... 911.0838897228241
sample_APA 45000000th iter... 912.0624957084656
sample_APA 44000000th iter... 913.2340357303619
sample_APA 42000000th iter... 914.7951469421387
sample_APA 39000000th iter... 917.5760560035706
sample_APA 43000000th iter... 919.987813949585
sample_APA 38000000th iter... 920.0574240684509
sample_APA 37000000th iter... 920.8979599475861
sample_APA 40000000th iter... 921.424863576889
sample_APA 41000000th iter... 921.6774423122406
sample_APA 36000000th iter... 921.836119890213
sample_APA 35000000th iter... 922.8666341304779
sample_APA 33000000th iter... 926.0750443935394
sample_APA 34000000th iter... 928.4447507858276
sample_APA 31000000th iter... 930.2064199447632
sample_APA 32000000th iter... 935.3702621459961
sample_APA 29000000th iter... 935.6651005744934
sample_APA 28000000th iter... 937.226998090744
sample_APA 30000000th iter... 938.4737474918365
sample_APA 27000000th iter... 943.3838555812836
sample_APA 26000000th iter... 944.1136603355408
sample_APA 10000000th iter... 944.7790565490723
sample_APA 20000000th iter... 944.8541867733002
sample_APA 18000000th iter... 948.667941570282
sample_APA 25000000th iter... 948.8211092948914
sample_APA 22000000th iter... 949.0914385318756
sample_APA 12000000th iter... 950.5758306980133
sample_APA 21000000th iter... 951.125239610672
sample_APA 11000000th iter... 951.17755818367
sample_APA 17000000th iter... 951.2998149394989
sample_APA 19000000th iter... 953.2094328403473
sample_APA 23000000th iter... 953.2646038532257
sample_APA 24000000th iter... 953.9549961090088
sample_APA 8000000th iter... 955.0580317974091
sample_APA 9000000th iter... 955.0656170845032
sample_APA 16000000th iter... 956.6411395072937
sample_APA 13000000th iter... 962.1632490158081
sample_APA 7000000th iter... 963.2674958705902
sample_APA 15000000th iter... 966.3704345226288
sample_APA 14000000th iter... 971.2374832630157
sample_APA 6000000th iter... 973.731454372406
sample_APA 5000000th iter... 982.7152664661407
sample_APA 4000000th iter... 1005.8795645236969
sample_APA 3000000th iter... 1015.4690334796906
sample_APA 2000000th iter... 1041.683999300003
sample_APA 49000000th iter... 1074.018696308136
sample_APA 51000000th iter... 1076.654131412506
sample_APA 50000000th iter... 1076.9781918525696
sample_APA 52000000th iter... 1077.4949650764465
sample_APA 48000000th iter... 1078.9758729934692
sample_APA 57000000th iter... 1082.4950976371765
sample_APA 58000000th iter... 1083.3908882141113
sample_APA 55000000th iter... 1084.2461750507355
sample_APA 59000000th iter... 1085.156004667282
sample_APA 54000000th iter... 1085.3201944828033
sample_APA 56000000th iter... 1086.6867096424103
sample_APA 60000000th iter... 1088.8906478881836
sample_APA 53000000th iter... 1089.3818972110748
sample_APA 61000000th iter... 1091.7783920764923
sample_APA 1000000th iter... 1091.8863408565521
sample_APA 63000000th iter... 1093.8929398059845
sample_APA 62000000th iter... 1095.5478365421295
sample_APA 66000000th iter... 1103.563309431076
sample_APA 64000000th iter... 1104.309485912323
sample_APA 67000000th iter... 1104.3668265342712
sample_APA 68000000th iter... 1105.5501081943512
sample_APA 73000000th iter... 1106.4914727210999
sample_APA 71000000th iter... 1106.8201034069061
sample_APA 65000000th iter... 1107.6519675254822
sample_APA 74000000th iter... 1108.4411053657532
sample_APA 69000000th iter... 1111.1055328845978
sample_APA 81000000th iter... 1112.3886852264404
sample_APA 70000000th iter... 1113.0460138320923
sample_APA 78000000th iter... 1113.085785150528
sample_APA 80000000th iter... 1113.293149471283
sample_APA 72000000th iter... 1114.5122821331024
sample_APA 75000000th iter... 1114.6238522529602
sample_APA 77000000th iter... 1115.8952651023865
sample_APA 83000000th iter... 1116.5175077915192
sample_APA 79000000th iter... 1116.905788898468
sample_APA 82000000th iter... 1117.4507098197937
sample_APA 84000000th iter... 1118.5015630722046
sample_APA 85000000th iter... 1124.3098304271698
sample_APA 76000000th iter... 1126.8048079013824
sample_APA 86000000th iter... 1129.1682105064392
sample_APA 87000000th iter... 1133.5151896476746
sample_APA 88000000th iter... 1137.22323179245
sample_APA 89000000th iter... 1143.740553855896
sample_APA 90000000th iter... 1152.4596183300018
sample_APA 122000000th iter... 1171.4894080162048
sample_APA 91000000th iter... 1173.1028757095337
sample_APA 92000000th iter... 1182.5130279064178
sample_APA 93000000th iter... 1206.7406768798828
sample_APA 0th iter... 1223.5643389225006
sample_APA 94000000th iter... 1233.8968334197998
sample_APA 96000000th iter... 1237.1731488704681
sample_APA 95000000th iter... 1237.7706775665283
sample_APA 97000000th iter... 1238.33203291893
sample_APA 98000000th iter... 1242.1964070796967
sample_APA 100000000th iter... 1244.181648015976
sample_APA 99000000th iter... 1245.1808104515076
sample_APA 105000000th iter... 1247.5177671909332
sample_APA 103000000th iter... 1247.8021533489227
sample_APA 101000000th iter... 1247.9536564350128
sample_APA 104000000th iter... 1248.2994449138641
sample_APA 102000000th iter... 1248.3553280830383
sample_APA 106000000th iter... 1249.0537507534027
sample_APA 107000000th iter... 1249.7342746257782
sample_APA 110000000th iter... 1251.5136506557465
sample_APA 109000000th iter... 1252.4501445293427
sample_APA 108000000th iter... 1256.2245659828186
sample_APA 112000000th iter... 1259.992415189743
sample_APA 114000000th iter... 1260.2776517868042
sample_APA 116000000th iter... 1260.885933637619
sample_APA 115000000th iter... 1262.1221210956573
sample_APA 117000000th iter... 1262.4881045818329
sample_APA 111000000th iter... 1262.8024129867554
sample_APA 113000000th iter... 1262.9853575229645
sample_APA 120000000th iter... 1263.7802956104279
sample_APA 121000000th iter... 1265.6659302711487
sample_APA 119000000th iter... 1266.4412684440613
sample_APA 118000000th iter... 1266.9037618637085
APA done : 1274.129455089569 | APA_result.shape : (2,203414216)
