Dataload done! 48.928656339645386
sample_PAI 93000000th iter... 1371.8346557617188
sample_PAI 89000000th iter... 1373.6214427947998
sample_PAI 90000000th iter... 1381.785236120224
sample_PAI 91000000th iter... 1381.9553637504578
sample_PAI 92000000th iter... 1386.495447397232
sample_PAI 94000000th iter... 1399.0249199867249
sample_PAI 95000000th iter... 1401.980706691742
sample_PAI 121000000th iter... 1771.5009684562683
sample_PAI 96000000th iter... 1820.503648519516
sample_PAI 97000000th iter... 1838.0239605903625
sample_PAI 98000000th iter... 1842.1359233856201
sample_PAI 99000000th iter... 1842.2454662322998
sample_PAI 101000000th iter... 1848.4511983394623
sample_PAI 102000000th iter... 1853.3672170639038
sample_PAI 103000000th iter... 1853.747266292572
sample_PAI 100000000th iter... 1854.51877784729
sample_PAI 105000000th iter... 1863.0865650177002
sample_PAI 104000000th iter... 1867.402143239975
sample_PAI 108000000th iter... 1875.2844676971436
sample_PAI 107000000th iter... 1878.9314260482788
sample_PAI 109000000th iter... 1879.7549080848694
sample_PAI 106000000th iter... 1883.827407360077
sample_PAI 112000000th iter... 1886.8429827690125
sample_PAI 110000000th iter... 1888.7096118927002
sample_PAI 113000000th iter... 1894.9729664325714
sample_PAI 111000000th iter... 1897.2452692985535
sample_PAI 114000000th iter... 1898.3682253360748
sample_PAI 115000000th iter... 1901.7607848644257
sample_PAI 118000000th iter... 1906.4246609210968
sample_PAI 117000000th iter... 1907.8677015304565
sample_PAI 119000000th iter... 1908.144129037857
sample_PAI 116000000th iter... 1912.7855882644653
sample_PAI 120000000th iter... 1925.0852782726288
PAI done : 1937.0772721767426 | PAI_result.shape : (2,328659266)
