Test visit flag update. Current non-zero entries : 0
Test visit flag 0/143th batch | time : 93.48 | Nonzero : 1131817
1st sample | row<col : 8, row>=col : 21051 | sample size : [1024, 24426]
2nd sample | row<col : 177073, row>=col : 129349 | sample size : [24974, 331301]
1st sample | row<col : 8, row>=col : 21855 | sample size : [1024, 24974]
2nd sample | row<col : 171460, row>=col : 124780 | sample size : [24402, 323036]
1st sample | row<col : 8, row>=col : 21026 | sample size : [1024, 24402]
2nd sample | row<col : 174492, row>=col : 131843 | sample size : [25068, 332129]
1st sample | row<col : 4, row>=col : 21782 | sample size : [1024, 25068]
2nd sample | row<col : 171908, row>=col : 129255 | sample size : [24853, 327757]
1st sample | row<col : 12, row>=col : 21552 | sample size : [1024, 24853]
Test visit flag 90/143th batch | time : 484.33 | Nonzero : 9928572
2nd sample | row<col : 174592, row>=col : 126505 | sample size : [24642, 325609]
1st sample | row<col : 4, row>=col : 21374 | sample size : [1024, 24642]
2nd sample | row<col : 178421, row>=col : 132891 | sample size : [25529, 335970]
1st sample | row<col : 6, row>=col : 22186 | sample size : [1024, 25529]
2nd sample | row<col : 178300, row>=col : 131369 | sample size : [25197, 335250]
1st sample | row<col : 3, row>=col : 22032 | sample size : [1024, 25197]
2nd sample | row<col : 176721, row>=col : 130479 | sample size : [25134, 329263]
1st sample | row<col : 9, row>=col : 21929 | sample size : [1024, 25134]
2nd sample | row<col : 176545, row>=col : 131319 | sample size : [25041, 331658]
1st sample | row<col : 6, row>=col : 21881 | sample size : [1024, 25041]
2nd sample | row<col : 175876, row>=col : 128789 | sample size : [24990, 329580]
1st sample | row<col : 8, row>=col : 21534 | sample size : [1024, 24990]
2nd sample | row<col : 174774, row>=col : 124030 | sample size : [24518, 325849]
1st sample | row<col : 6, row>=col : 21212 | sample size : [1024, 24518]
2nd sample | row<col : 175168, row>=col : 131706 | sample size : [25088, 333740]
1st sample | row<col : 3, row>=col : 21733 | sample size : [1024, 25088]
2nd sample | row<col : 172534, row>=col : 126317 | sample size : [24397, 318803]
1st sample | row<col : 4, row>=col : 21393 | sample size : [1024, 24397]
2nd sample | row<col : 174982, row>=col : 125715 | sample size : [24614, 327658]
1st sample | row<col : 7, row>=col : 21213 | sample size : [1024, 24614]
Test visit flag 100/143th batch | time : 531.07 | Nonzero : 10533688
2nd sample | row<col : 179327, row>=col : 132927 | sample size : [25467, 334051]
1st sample | row<col : 8, row>=col : 22302 | sample size : [1024, 25467]
2nd sample | row<col : 174672, row>=col : 130705 | sample size : [25030, 332156]
1st sample | row<col : 7, row>=col : 21729 | sample size : [1024, 25030]
2nd sample | row<col : 171104, row>=col : 124524 | sample size : [24417, 324711]
1st sample | row<col : 4, row>=col : 21028 | sample size : [1024, 24417]
2nd sample | row<col : 178651, row>=col : 130541 | sample size : [25227, 330502]
1st sample | row<col : 5, row>=col : 22126 | sample size : [1024, 25227]
2nd sample | row<col : 179444, row>=col : 130200 | sample size : [25350, 333560]
1st sample | row<col : 3, row>=col : 22198 | sample size : [1024, 25350]
2nd sample | row<col : 175446, row>=col : 127277 | sample size : [24834, 328552]
1st sample | row<col : 3, row>=col : 21501 | sample size : [1024, 24834]
2nd sample | row<col : 174162, row>=col : 125525 | sample size : [24577, 325031]
1st sample | row<col : 9, row>=col : 21437 | sample size : [1024, 24577]
2nd sample | row<col : 182561, row>=col : 134055 | sample size : [25828, 344206]
1st sample | row<col : 2, row>=col : 22471 | sample size : [1024, 25828]
2nd sample | row<col : 175874, row>=col : 129016 | sample size : [24898, 330865]
1st sample | row<col : 3, row>=col : 21557 | sample size : [1024, 24898]
2nd sample | row<col : 172085, row>=col : 127914 | sample size : [24509, 325354]
1st sample | row<col : 6, row>=col : 21129 | sample size : [1024, 24509]
Test visit flag 110/143th batch | time : 576.14 | Nonzero : 11013256
2nd sample | row<col : 169374, row>=col : 124544 | sample size : [24262, 323043]
1st sample | row<col : 3, row>=col : 20876 | sample size : [1024, 24262]
2nd sample | row<col : 178507, row>=col : 126815 | sample size : [25145, 334771]
1st sample | row<col : 8, row>=col : 21620 | sample size : [1024, 25145]
2nd sample | row<col : 179909, row>=col : 129781 | sample size : [25140, 331550]
1st sample | row<col : 6, row>=col : 22072 | sample size : [1024, 25140]
2nd sample | row<col : 169553, row>=col : 126485 | sample size : [24370, 324990]
1st sample | row<col : 9, row>=col : 20995 | sample size : [1024, 24370]
2nd sample | row<col : 171375, row>=col : 130103 | sample size : [24793, 328078]
1st sample | row<col : 7, row>=col : 21509 | sample size : [1024, 24793]
2nd sample | row<col : 181988, row>=col : 135052 | sample size : [25787, 343167]
1st sample | row<col : 9, row>=col : 22547 | sample size : [1024, 25787]
2nd sample | row<col : 175977, row>=col : 127234 | sample size : [24855, 329276]
1st sample | row<col : 5, row>=col : 21733 | sample size : [1024, 24855]
2nd sample | row<col : 171535, row>=col : 125890 | sample size : [24372, 318699]
1st sample | row<col : 7, row>=col : 21320 | sample size : [1024, 24372]
2nd sample | row<col : 177603, row>=col : 129753 | sample size : [25074, 332764]
1st sample | row<col : 3, row>=col : 21824 | sample size : [1024, 25074]
2nd sample | row<col : 176319, row>=col : 128673 | sample size : [25087, 332221]
1st sample | row<col : 9, row>=col : 21712 | sample size : [1024, 25087]
Test visit flag 120/143th batch | time : 620.70 | Nonzero : 11510744
2nd sample | row<col : 173025, row>=col : 127267 | sample size : [24717, 326772]
1st sample | row<col : 9, row>=col : 21253 | sample size : [1024, 24717]
2nd sample | row<col : 180559, row>=col : 128930 | sample size : [25261, 331660]
2nd sample | row<col : 177755, row>=col : 129837 | sample size : [25052, 332197]
1st sample | row<col : 4, row>=col : 22065 | sample size : [1024, 25261]
1st sample | row<col : 6, row>=col : 21914 | sample size : [1024, 25052]
2nd sample | row<col : 182058, row>=col : 134461 | sample size : [25778, 343005]
1st sample | row<col : 5, row>=col : 22410 | sample size : [1024, 25778]
2nd sample | row<col : 171455, row>=col : 128223 | sample size : [24606, 324315]
1st sample | row<col : 9, row>=col : 21264 | sample size : [1024, 24606]
2nd sample | row<col : 177418, row>=col : 129762 | sample size : [25111, 333553]
1st sample | row<col : 5, row>=col : 21856 | sample size : [1024, 25111]
2nd sample | row<col : 176686, row>=col : 132211 | sample size : [25248, 333086]
2nd sample | row<col : 181756, row>=col : 132621 | sample size : [25628, 342057]
1st sample | row<col : 8, row>=col : 21938 | sample size : [1024, 25248]
1st sample | row<col : 10, row>=col : 22259 | sample size : [1024, 25628]
2nd sample | row<col : 176992, row>=col : 129936 | sample size : [25185, 334427]
1st sample | row<col : 7, row>=col : 21666 | sample size : [1024, 25185]
2nd sample | row<col : 176603, row>=col : 129174 | sample size : [25025, 334769]
1st sample | row<col : 8, row>=col : 21747 | sample size : [1024, 25025]
Test visit flag 130/143th batch | time : 666.26 | Nonzero : 11982082
2nd sample | row<col : 171412, row>=col : 127433 | sample size : [24471, 324419]
1st sample | row<col : 12, row>=col : 21045 | sample size : [1024, 24471]
2nd sample | row<col : 169879, row>=col : 125892 | sample size : [24389, 325530]
1st sample | row<col : 7, row>=col : 21071 | sample size : [1024, 24389]
2nd sample | row<col : 174946, row>=col : 130206 | sample size : [25015, 334452]
1st sample | row<col : 2, row>=col : 21654 | sample size : [1024, 25015]
2nd sample | row<col : 178069, row>=col : 130086 | sample size : [25256, 339359]
1st sample | row<col : 14, row>=col : 21760 | sample size : [1024, 25256]
2nd sample | row<col : 172153, row>=col : 126826 | sample size : [24502, 326929]
1st sample | row<col : 3, row>=col : 21160 | sample size : [1024, 24502]
2nd sample | row<col : 178831, row>=col : 129410 | sample size : [25077, 334345]
1st sample | row<col : 6, row>=col : 21699 | sample size : [1024, 25077]
2nd sample | row<col : 176506, row>=col : 130108 | sample size : [25109, 333003]
1st sample | row<col : 4, row>=col : 21834 | sample size : [1024, 25109]
2nd sample | row<col : 169155, row>=col : 127006 | sample size : [24462, 324574]
1st sample | row<col : 11, row>=col : 21088 | sample size : [1024, 24462]
2nd sample | row<col : 178985, row>=col : 128662 | sample size : [25071, 334629]
1st sample | row<col : 7, row>=col : 21791 | sample size : [1024, 25071]
2nd sample | row<col : 64191, row>=col : 46910 | sample size : [9137, 125308]
1st sample | row<col : 2, row>=col : 7658 | sample size : [386, 9137]
Test visit flag 140/143th batch | time : 718.51 | Nonzero : 12447074
2nd sample | row<col : 184115, row>=col : 138040 | sample size : [26090, 346857]
1st sample | row<col : 7, row>=col : 22899 | sample size : [1024, 26090]
2nd sample | row<col : 169429, row>=col : 125809 | sample size : [24201, 320746]
1st sample | row<col : 5, row>=col : 20861 | sample size : [1024, 24201]
Done! ... 739.31
Visit flag saved.
2nd sample | row<col : 176500, row>=col : 117704 | sample size : [23852, 318529]
2nd sample | row<col : 179819, row>=col : 122474 | sample size : [24422, 323964]
1st sample | row<col : 972, row>=col : 19747 | sample size : [1024, 23852]
2nd sample | row<col : 181260, row>=col : 123215 | sample size : [24646, 331054]
2nd sample | row<col : 182445, row>=col : 124893 | sample size : [24739, 329442]
2nd sample | row<col : 183053, row>=col : 121915 | sample size : [24816, 328832]
1st sample | row<col : 1158, row>=col : 20059 | sample size : [1024, 24422]
2nd sample | row<col : 184574, row>=col : 126656 | sample size : [25118, 335463]
1st sample | row<col : 1136, row>=col : 20324 | sample size : [1024, 24646]
1st sample | row<col : 1030, row>=col : 20570 | sample size : [1024, 24739]
1st sample | row<col : 961, row>=col : 20514 | sample size : [1024, 24816]
2nd sample | row<col : 185680, row>=col : 127893 | sample size : [25278, 339974]
2nd sample | row<col : 189253, row>=col : 128891 | sample size : [25469, 341875]
1st sample | row<col : 1098, row>=col : 20682 | sample size : [1024, 25118]
2nd sample | row<col : 192661, row>=col : 128256 | sample size : [25745, 344592]
1st sample | row<col : 1015, row>=col : 20797 | sample size : [1024, 25278]
1st sample | row<col : 1163, row>=col : 20894 | sample size : [1024, 25469]
1st sample | row<col : 1030, row>=col : 21632 | sample size : [1024, 25745]
0 epoch ; bi-full_DEBUG | valid_acc : 0.01074 | time : 769.40 | batch : 0/135
2nd sample | row<col : 177111, row>=col : 119367 | sample size : [24095, 321500]
1st sample | row<col : 1042, row>=col : 19751 | sample size : [1024, 24095]
2nd sample | row<col : 180620, row>=col : 120281 | sample size : [24311, 324811]
2nd sample | row<col : 173744, row>=col : 119170 | sample size : [23919, 320629]
1st sample | row<col : 990, row>=col : 20075 | sample size : [1024, 24311]
2nd sample | row<col : 181994, row>=col : 119407 | sample size : [24456, 328261]
2nd sample | row<col : 181724, row>=col : 120472 | sample size : [24512, 327817]
2nd sample | row<col : 179464, row>=col : 117636 | sample size : [24073, 322773]
1st sample | row<col : 1007, row>=col : 19449 | sample size : [1024, 23919]
1st sample | row<col : 932, row>=col : 20332 | sample size : [1024, 24456]
1st sample | row<col : 1031, row>=col : 20034 | sample size : [1024, 24512]
1st sample | row<col : 914, row>=col : 19961 | sample size : [1024, 24073]
2nd sample | row<col : 185674, row>=col : 126206 | sample size : [25090, 336103]
2nd sample | row<col : 180500, row>=col : 123678 | sample size : [24645, 328513]
1st sample | row<col : 1032, row>=col : 20685 | sample size : [1024, 25090]
1st sample | row<col : 1104, row>=col : 20243 | sample size : [1024, 24645]
2nd sample | row<col : 188880, row>=col : 126350 | sample size : [25247, 337933]
2nd sample | row<col : 180591, row>=col : 123691 | sample size : [24671, 331706]
1st sample | row<col : 1104, row>=col : 20834 | sample size : [1024, 25247]
1st sample | row<col : 1139, row>=col : 20117 | sample size : [1024, 24671]
Validation Epoch end... Accuracy : 0.011241895893226259
Visit flag saved, nonzero element : 13326495
0 epoch ; bi-full_DEBUG | train_acc : 0.00781 | time : 811.53 | batch : 0/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.21875 | time : 862.59 | batch : 10/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.34766 | time : 909.67 | batch : 20/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.44238 | time : 956.04 | batch : 30/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.49219 | time : 1000.98 | batch : 40/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.54199 | time : 1046.38 | batch : 50/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.56836 | time : 1092.86 | batch : 60/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.59668 | time : 1139.60 | batch : 70/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.59180 | time : 1186.08 | batch : 80/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.62793 | time : 1233.55 | batch : 90/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.61719 | time : 1280.93 | batch : 100/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.60938 | time : 1327.01 | batch : 110/1086
0 epoch ; bi-full_DEBUG | train_acc : 0.64551 | time : 1374.25 | batch : 120/1086
Continue from.../users/PAS1289/oiocha/logs/bi-full_p=0.1_batch=1024/lightning_logs/version_13217996/checkpoints/epoch=42-step=46068.ckpt
Continue from.../users/PAS1289/oiocha/logs/bi-full_p=0.1_batch=1024/lightning_logs/version_13217996/checkpoints/epoch=42-step=46068.ckpt
2nd sample | row<col : 17073, row>=col : 17677 | sample size : [1588, 33660]
1st sample | row<col : 677, row>=col : 745 | sample size : [128, 1588]
2nd sample | row<col : 21143, row>=col : 16905 | sample size : [1689, 36593]
1st sample | row<col : 471, row>=col : 1077 | sample size : [128, 1689]
2nd sample | row<col : 25009, row>=col : 24185 | sample size : [2118, 43826]
2nd sample | row<col : 24309, row>=col : 23131 | sample size : [2031, 44172]
1st sample | row<col : 979, row>=col : 1013 | sample size : [128, 2118]
1st sample | row<col : 783, row>=col : 1061 | sample size : [128, 2031]
2nd sample | row<col : 28911, row>=col : 22982 | sample size : [2213, 49957]
bi-full_DEBUG | time : 55.47 | batch : 0/332342
0th result saving... 55.46660590171814
shape of reduced embedding_list : torch.Size([128, 153])1st sample | row<col : 844, row>=col : 1208 | sample size : [128, 2213]
2nd sample | row<col : 31561, row>=col : 28119 | sample size : [2487, 55813]
1st sample | row<col : 931, row>=col : 1425 | sample size : [128, 2487]
2nd sample | row<col : 36879, row>=col : 38940 | sample size : [3057, 69543]
1st sample | row<col : 1518, row>=col : 1410 | sample size : [128, 3057]
2nd sample | row<col : 39339, row>=col : 35384 | sample size : [2968, 67469]
2nd sample | row<col : 43337, row>=col : 37668 | sample size : [3160, 72600]
1st sample | row<col : 953, row>=col : 2021 | sample size : [128, 2968]
